Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-01-02 5:30,32.3182,-86.9023,365747,4872,202137,158738,1,7459.375895,1885216,,1.332068342,84000001,USA,38448.8042,
Alaska,US,2021-01-02 5:30,61.3707,-152.4044,47019,206,7165,39615,2,6422.844801,1275750,,0.438428468,84000002,USA,174391.1858,
American Samoa,US,2021-01-02 5:30,-14.271,-170.132,0,0,,0,60,0,2140,,,16,ASM,3846.084722,
Arizona,US,2021-01-02 5:30,33.7298,-111.4312,530267,9015,76934,444318,4,7285.171274,5155330,,1.700086937,84000004,USA,39551.86058,
Arkansas,US,2021-01-02 5:30,34.9697,-92.3731,229442,3711,199247,26484,5,7602.945718,2051488,,1.617402219,84000005,USA,67979.49767,
California,US,2021-01-02 5:30,36.1162,-119.6816,2365024,26424,,2309915,6,5912.603297,33058311,,1.125160035,84000006,USA,83666.03671,
Colorado,US,2021-01-02 5:30,39.0598,-105.3111,337161,4873,18102,314186,8,5854.774381,4444206,,1.445303579,84000008,USA,77173.28942,
Connecticut,US,2021-01-02 5:30,41.5978,-72.7554,185708,5995,9800,169913,9,5208.781229,4320693,,3.228186185,84000009,USA,121187.8034,
Delaware,US,2021-01-02 5:30,39.3185,-75.5071,58064,1065,18851,38283,10,5962.841099,984606,,1.601680904,84000010,USA,101113.4115,
Diamond Princess,US,2021-01-02 5:30,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,2021-01-02 5:30,38.8974,-77.0268,29252,788,20941,7523,11,4144.816358,904302,,2.6938329,84000011,USA,128133.6566,
Florida,US,2021-01-02 5:30,27.7663,-81.6868,1323315,21673,,1301642,12,6161.333478,15703599,,1.637780876,84000012,USA,73115.70581,
Georgia,US,2021-01-02 5:30,33.0406,-83.6431,677589,10958,,666631,13,6381.859327,5401054,,1.61720453,84000013,USA,50869.72611,
Grand Princess,US,2021-01-02 5:30,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,2021-01-02 5:30,13.4443,144.7937,7326,122,7047,157,66,4460.844309,96201,,1.665301665,316,GUM,58577.35236,
Hawaii,US,2021-01-02 5:30,21.0943,-157.4983,22397,289,11958,9775,15,1555.366587,816811,,1.31232404,84000015,USA,57689.60754,
Idaho,US,2021-01-02 5:30,44.2405,-114.4788,141077,1436,58649,80992,16,7894.340721,545485,,1.017883851,84000016,USA,30524.07159,
Illinois,US,2021-01-02 5:30,40.3495,-88.9861,963389,17978,,945411,17,7602.60897,13374665,,1.866120539,84000017,USA,105546.5114,
Indiana,US,2021-01-02 5:30,39.8494,-86.2583,517773,9468,345474,163928,18,7690.970837,5730043,,1.616731657,84000018,USA,85113.73442,
Iowa,US,2021-01-02 5:30,42.0115,-93.2105,282980,3898,241229,37853,19,8969.056154,1174406,,1.377482508,84000019,USA,37222.81915,
Kansas,US,2021-01-02 5:30,38.5266,-96.7265,230108,2892,4612,222819,20,7905.18976,1012506,,1.247052796,84000020,USA,34754.44116,
Kentucky,US,2021-01-02 5:30,37.6681,-84.6701,265261,2623,36740,225898,21,5937.34143,3148606,,0.988837409,84000021,USA,70475.30112,
Louisiana,US,2021-01-02 5:30,31.1695,-91.8678,315275,7488,263712,44075,22,6781.866437,4214182,,2.375069384,84000022,USA,90651.08069,
Maine,US,2021-01-02 5:30,44.6939,-69.3819,24902,352,11374,13176,23,1852.535166,1111413,,1.413541081,84000023,USA,82681.37764,
Maryland,US,2021-01-02 5:30,39.0639,-76.8021,280219,5942,9358,264919,24,4635.028649,5761534,,2.120484335,84000024,USA,95300.01588,
Massachusetts,US,2021-01-02 5:30,42.2302,-71.5301,375178,12423,261672,101083,25,5443.276557,10944699,,3.31122827,84000025,USA,158791.3563,
Michigan,US,2021-01-02 5:30,43.3266,-84.5361,528621,13018,318389,197214,26,5293.166809,8113075,,2.46263391,84000026,USA,81237.52047,
Minnesota,US,2021-01-02 5:30,45.6945,-93.9002,415302,5382,397080,12840,27,7363.991126,5351379,,1.295924412,84000027,USA,94888.79771,
Mississippi,US,2021-01-02 5:30,32.7416,-89.6787,218386,4816,167263,46307,28,7337.871861,1346044,,2.205269569,84000028,USA,45227.70869,
Missouri,US,2021-01-02 5:30,38.4561,-92.2884,445019,5747,397080,4684,29,6639.214342,3665980,,1.402042324,84000029,USA,59731.53575,
Montana,US,2021-01-02 5:30,46.9219,-110.4544,81555,961,74991,5603,30,7630.677278,791589,,1.178345902,84000030,USA,74064.8666,
Nebraska,US,2021-01-02 5:30,41.1254,-98.2681,167716,1668,107694,58354,31,8670.146112,1755820,,0.994538386,84000031,USA,90767.82147,
Nevada,US,2021-01-02 5:30,38.3135,-117.0554,227046,3143,,223903,32,7371.250028,2095778,,1.384300979,84000032,USA,68041.29401,
New Hampshire,US,2021-01-02 5:30,43.4525,-71.5639,45932,759,37350,5919,33,3238.041025,1032929,,1.723902971,84000033,USA,75966.80471,
New Jersey,US,2021-01-02 5:30,40.2989,-74.521,535043,19160,56109,407592,34,5436.283169,7792714,,3.96801564,84000034,USA,87734.15115,
New Mexico,US,2021-01-02 5:30,34.8405,-106.2485,144142,2502,66638,75002,35,6874.284932,1983507,,1.73578832,84000035,USA,94595.55357,
New York,US,2021-01-02 5:30,42.1657,-74.9481,995816,38155,102968,854693,36,5118.939407,25504313,,3.831531126,84000036,USA,131103.5702,
North Carolina,US,2021-01-02 5:30,35.6301,-79.8064,539545,6748,403488,129309,37,5144.361925,6944103,,1.250683446,84000037,USA,66209.45256,
North Dakota,US,2021-01-02 5:30,47.5289,-99.784,92770,1316,89314,2147,38,12173.55018,1277930,,1.411016492,84000038,USA,167693.7047,
Northern Mariana Islands,US,2021-01-02 5:30,15.0979,145.6739,122,2,29,91,69,221.2389381,17551,,1.639344262,580,MNP,31827.5787,
Ohio,US,2021-01-02 5:30,40.3888,-82.7649,700380,13745,556106,135312,39,5991.735891,7752314,,1.279591079,84000039,USA,66320.88014,
Oklahoma,US,2021-01-02 5:30,35.5653,-96.9289,291209,2489,255843,32604,40,7352.492601,2685254,,0.855514615,84000040,USA,67861.35152,
Oregon,US,2021-01-02 5:30,44.572,-122.0709,113909,1477,5870,106562,41,2700.713677,2652670,,1.29664908,84000041,USA,62893.20553,
Pennsylvania,US,2021-01-02 5:30,40.5908,-77.2098,653260,16245,429017,206919,42,5093.669429,7607664,,2.477414962,84000042,USA,30645.58171,
Puerto Rico,US,2021-01-02 5:30,18.2208,-66.5901,77054,1521,66930,8603,72,2412.692011,383026,,1.973940354,630,PRI,11993.19659,
Rhode Island,US,2021-01-02 5:30,41.6809,-71.5118,87949,1944,5381,80791,44,8302.080216,1974498,,2.020489147,84000044,USA,186385.7552,
South Carolina,US,2021-01-02 5:30,33.8569,-80.945,307507,5296,151084,151127,45,5972.501094,3173021,,1.722237217,84000045,USA,61627.44716,
South Dakota,US,2021-01-02 5:30,44.2998,-99.4388,99164,1488,91980,5696,46,11209.29081,372640,,1.500544552,84000046,USA,42122.44492,
Tennessee,US,2021-01-02 5:30,35.7478,-86.6923,586802,6907,508914,70981,47,8592.576496,5644058,,1.17705802,84000047,USA,82646.27611,
Texas,US,2021-01-02 5:30,31.0545,-97.5635,1782956,28359,1435164,316178,48,6137.406206,13848790,,1.587608417,84000048,USA,47761.23202,
Utah,US,2021-01-02 5:30,40.15,-111.8624,276612,1269,224439,50904,49,8628.06063,2245303,,0.458765346,84000049,USA,70035.32174,
Vermont,US,2021-01-02 5:30,44.0459,-72.7107,7412,136,4959,2317,50,1187.841452,697705,,1.834862385,84000050,USA,111813.6698,
Virgin Islands,US,2021-01-02 5:30,18.3358,-64.8963,2036,23,1901,112,78,1898.049745,36212,,1.129666012,850,VIR,33758.43681,
Virginia,US,2021-01-02 5:30,37.7693,-78.17,354766,5081,30964,318721,51,4156.349485,4291320,,1.432211655,84000051,USA,50276.02891,
