Country,City,Area,Population,PopDensity,Hospital Beds,Confirmed,Death,Recovered,PopDensity_auto
US,Jackson(TN),151 ,67669 ,448 ,1178 ,26,0,0,448.1390728
Spain,Murcia,886 ,459403 ,518 ,4909 ,150,4,146,518.513544
US,Jackson(MS),288 ,154340 ,536 ,4831 ,453,16,0,535.9027778
US,Spartanburg,51 ,37039 ,726 ,934 ,1564,48,0,726.254902
Spain,Community_Of_Madrid,8030 ,6661949 ,829 ,20640 ,42110,4822,31406,829.6325031
US,El_paso,669 ,685434 ,1025 ,2360 ,5871,130,0,1024.565022
US,Winchester,24 ,28310 ,1180 ,1135 ,312,3,0,1179.583333
US,San_Luis_Obispo,34 ,47777 ,1405 ,1408 ,531,1,0,1405.205882
Japan,Aichi,5173 ,7546192 ,1458 ,66436 ,340,10,0,1458.765127
US,Dallas,880 ,1347120 ,1348 ,11877 ,20607,424,0,1530.818182
US,Sarasota,38 ,59363 ,1562 ,1468 ,1400,94,0,1562.184211
US,Napa,47 ,76498 ,1663 ,526 ,302,4,0,1627.617021
US,San_Diego,844 ,1427720 ,1670 ,6980 ,13416,355,0,1691.611374
US,Erie,50 ,93928 ,1879 ,2088 ,592,12,0,1878.56
US,Sacramento,253 ,525398 ,2077 ,4997 ,2999,61,0,2076.671937
US,Honolulu,157 ,341302 ,1254 ,2623 ,495,12,0,2173.898089
Germany,Hamburg,755 ,1852478 ,2453 ,12791 ,5203,259,4900,2453.613245
US,Baltimore,207 ,575584 ,2780 ,8088 ,7325,335,0,2780.599034
US,Los_Angeles,1302 ,3983540 ,3056 ,21907 ,100332,3307,0,3059.554531
US,Lancaster,19 ,58981 ,3104 ,1179 ,4285,354,0,3104.263158
US,York,14 ,43752 ,3125 ,947 ,1436,48,0,3125.142857
US,Camden,23 ,73236 ,2712 ,7228 ,7057,486,0,3184.173913
US,Miami,143 ,478251 ,3344 ,9139 ,34618,984,0,3344.412587
Germany,Berlin,892 ,3664088 ,3809 ,20636 ,8242,214,7349,4107.721973
US,Washington_D.C.,158 ,714153 ,4032 ,5055 ,9741,542,0,4519.955696
US,Philadelphia,348 ,1585010 ,4295 ,11954 ,24458,1590,0,4554.626437
Russia,Moscow,2562 ,12593252 ,8537 ,81600 ,219718,3781,150282,4915.398907
Japan,Tokyo,2194 ,13957977 ,6361 ,128289 ,5541,309,5407,6361.885597
Hongkong,Hongkong,1110 ,7474200 ,6700 ,41474 ,440,3,960,6733.513514
Spain,Melilla,12 ,84284 ,6852 ,168 ,23,2,98,6852.357724
US,San_Francisco,122 ,883255 ,7276 ,4215 ,3169,43,0,7239.795082
Singapore,Singapore,725 ,5895358 ,7700 ,11545 ,42907,23,38255,8131.528276
,,,,,,,,,
