,State,LandArea,Density,Population,Total Hospital Beds,Total ICU Beds
0,Alabama,50645,97.4271,4934193,14793.0,1903.0
1,Alaska,570641,1.2694,724357,1583.0,130.0
2,Arizona,113594,66.2016,7520103,12590.0,1702.0
3,Arkansas,52035,58.3059,3033946,8560.0,908.0
4,California,155779,254.2929,39613493,68074.0,8105.0
5,Colorado,103642,56.8653,5893634,10335.0,1295.0
6,Connecticut,4842,733.7507,3552821,7034.0,741.0
7,Delaware,1949,508.1242,990334,1845.0,237.0
8,Florida,53625,409.2229,21944577,53744.0,6433.0
9,Georgia,57513,188.3054,10830007,21861.0,2582.0
10,Hawaii,6423,218.9678,1406430,2623.0,219.0
11,Idaho,82643,22.5079,1860123,2265.0,230.0
12,Illinois,55519,226.3967,12569321,25846.0,3106.0
13,Indiana,35826,189.9644,6805663,17546.0,2351.0
14,Iowa,55857,56.7158,3167974,9152.0,634.0
15,Kansas,81759,35.6808,2917224,5894.0,554.0
16,Kentucky,39486,113.476,4480713,11915.0,1331.0
17,Louisiana,43204,107.0966,4627002,14484.0,1572.0
18,Maine,30843,43.9167,1354522,3618.0,309.0
19,Maryland,9707,624.8518,6065436,8710.0,1053.0
20,Massachusetts,7800,886.1845,6912239,13352.0,1521.0
21,Michigan,56539,176.7351,9992427,24112.0,2724.0
22,Minnesota,79627,71.6641,5706398,12610.0,1297.0
23,Mississippi,46923,63.2186,2966407,10166.0,761.0
24,Missouri,68742,89.7419,6169038,22788.0,2604.0
25,Montana,145546,7.4547,1085004,4371.0,277.0
26,Nebraska,76824,25.4087,1951996,6064.0,565.0
27,Nevada,109781,29.0195,3185786,6051.0,1167.0
28,New Hampshire,8953,153.2674,1372203,2542.0,242.0
29,New Jersey,7354,1206.7609,8874520,19999.0,1806.0
30,New Mexico,121298,17.354,2105005,2908.0,380.0
31,New York,47126,409.54,19299981,50102.0,4308.0
32,North Carolina,48618,220.1041,10701022,22158.0,3294.0
33,North Dakota,69001,11.1596,770026,4710.0,310.0
34,Ohio,40861,286.6944,11714618,27969.0,3635.0
35,Oklahoma,68595,58.174,3990443,10459.0,1144.0
36,Oregon,95988,44.6872,4289439,7649.0,973.0
37,Pennsylvania,44743,286.1704,12804123,34689.0,3846.0
38,Rhode Island,1034,1026.6044,1061509,2249.0,293.0
39,South Carolina,30061,175.5707,5277830,10313.0,1358.0
40,South Dakota,75811,11.8265,896581,4943.0,149.0
41,Tennessee,41235,168.4069,6944260,21489.0,2601.0
42,Texas,261232,113.8081,29730311,55629.0,7128.0
43,Utah,82170,40.2918,3310774,5690.0,758.0
44,Vermont,9217,67.6197,623251,1743.0,117.0
45,Virginia,39490,217.8776,8603985,16782.0,1902.0
46,Washington,66456,117.3249,7796941,11618.0,1428.0
47,West Virginia,24038,73.5443,1767859,5736.0,601.0
48,Wisconsin,54158,108.0633,5852490,11350.0,1533.0
49,Wyoming,97093,5.9847,581075,633.0,32.0
