HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Abilene, TX",980 ,127 ,565 ,772 ,68 ,98 ,226444 ,50412 ,45289 ,9563 ,2090 ,638 ,1 ,83%,65%,319,56%,41%,33%,208,37%,27%,21%,139,204%,142%,109%,70,103%,71%,55%,45,66%,46%,35%
"Akron, OH",1358 ,186 ,518 ,938 ,94 ,140 ,547990 ,111042 ,109598 ,22933 ,4959 ,1529 ,3 ,163%,113%,764,147%,81%,56%,499,96%,53%,37%,331,352%,236%,178%,165,176%,118%,89%,108,115%,77%,58%
"Alameda County, CA",2695 ,293 ,665 ,1680 ,139 ,216 ,1310189 ,214991 ,262038 ,53872 ,11400 ,3591 ,5 ,214%,133%,"1,796",270%,107%,67%,"1,171",176%,70%,43%,760,547%,352%,259%,380,273%,176%,130%,248,178%,115%,85%
"Albany, GA",704 ,60 ,221 ,462 ,27 ,43 ,157143 ,30466 ,31429 ,6550 ,1410 ,437 ,2 ,95%,62%,218,99%,47%,31%,142,64%,31%,20%,94,348%,219%,157%,47,174%,109%,78%,31,115%,72%,52%
"Albany, NY",4804 ,425 ,1579 ,3191 ,193 ,309 ,1477723 ,318695 ,295545 ,62209 ,13545 ,4147 ,3 ,130%,86%,"2,074",131%,65%,43%,"1,352",86%,42%,28%,903,468%,292%,212%,452,234%,146%,106%,294,152%,95%,69%
"Albuquerque, NM",2908 ,380 ,1102 ,2005 ,161 ,270 ,1336795 ,279457 ,267359 ,56108 ,12174 ,3741 ,3 ,187%,129%,"1,870",170%,93%,64%,"1,220",111%,61%,42%,812,504%,301%,214%,406,252%,150%,107%,265,165%,98%,70%
"Alexandria, LA",917 ,43 ,402 ,660 ,20 ,31 ,221597 ,44519 ,44319 ,9266 ,2002 ,618 ,2 ,94%,67%,309,77%,47%,34%,201,50%,30%,22%,133,665%,429%,309%,67,335%,216%,156%,44,220%,142%,102%
"Allentown, PA",3267 ,334 ,1267 ,2267 ,143 ,238 ,960572 ,207376 ,192114 ,40442 ,8807 ,2696 ,2 ,119%,83%,"1,348",106%,59%,41%,879,69%,39%,27%,587,410%,247%,176%,294,206%,124%,88%,191,134%,80%,57%
"Altoona, PA",555 ,61 ,234 ,394 ,27 ,44 ,234560 ,56483 ,46912 ,9986 ,2203 ,666 ,3 ,169%,120%,333,142%,85%,60%,217,93%,55%,39%,147,544%,334%,241%,73,270%,166%,120%,48,178%,109%,79%
"Amarillo, TX",1236 ,194 ,678 ,957 ,79 ,137 ,332671 ,61267 ,66534 ,13806 ,2955 ,920 ,1 ,96%,74%,460,68%,48%,37%,300,44%,31%,24%,197,249%,144%,102%,98,124%,72%,51%,64,81%,47%,33%
